Term,Definition,Category
Abstract data type (ADT) ,A conceptual model of the way that data is arranged and the operations that can be carried out on the data.,Data Structures
Abstract syntax tree (AST) ,"A tree representation of the key constructs of a piece of source code, showing the order of evaluation.",Data Structures
Abstraction ,A set of techniques used to solve complex problems that involves removing unnecessary details so the main processes involved can be easily identified.,Fundamentals of Programming
Acceptable Use Policy ,"An agreement between an organisation and its users that sets out how computer equipment, the network, and systems should be used, and specifies the ways in which their use is restricted.",Other
Accepting state ,A state that will be reached when a valid string is input.,Other
Access modifiers ,"Keywords that specify how the members (attributes and methods) of a class can be accessed. Common modifiers include 'public', 'private', and 'protected'.",Other
Access speed ,The speed at which data can be written to and read from a storage device.,Other
Accessibility ,"The practice of removing barriers that prevent access to, or interaction with, products, services, and environments.",Other
Address bus ,"A communication pathway that is used to carry the address of a memory location in order to either read data from, or write data to, that memory location.",Other
Address bus width ,The number of parallel lines that make up the address bus. This will determine the amount of memory that can be addressed by the system.,Other
Addressing mode ,Part of a program instruction that specifies how the operand must be interpreted.,Other
Adjacency list ,A list of nodes and their adjacent nodes.,Other
Adjacency matrix ,A two-dimensional array used to store graph data.,Other
ADSL ,Asymmetric digital subscriber line. Technology that enables the use of a standard telephone line to receive and transmit data. It enables higher download speeds than upload speeds.,Other
Aggregation ,"Defines a 'has-a' relationship between two classes. In aggregation, the objects can exist independently of each other.",Other
Agile methodology ,A software development methodology used to manage the stages of the software development life cycle.,Software Development
Algorithm ,A finite and well-defined sequence of steps that need to be followed to perform a task.,Fundamentals of Programming
ALU ,Arithmetic logic unit. A component of the processor that performs arithmetic operations and logical comparisons.,Other
Amplitude ,"The height of an analogue wave, measured from its rest level, at a given point in time. For sound waves, this is a measurement of volume.",Other
Analogue ,A signal that varies continuously over a period of time. Sound waves are typical examples of analogue wave forms.,Other
AND ,A Boolean operation that outputs True if both input values are True.,Other
Anomaly ,A deviation from the common rule that does not fit into any established pattern.,Other
Anti-malware ,Software that is used to detect and remove malware.,Other
Append mode ,A file handling mode that allows a program to write extra data at the end of a file without erasing the existing contents of the file.,Other
Append operator (++) ,Used to add a new item or items to the end of a list.,Other
Application software ,"Software designed to carry out a task for an end user, such as creating a document or sending an email.",Other
Arc ,A connection between two nodes in a graph data structure. Also called edge.,Other
Argument ,A data value or reference passed to a subroutine as required by its defined parameters.,Other
